RepID,ManagerID,Segment,Region,TenureMonths,Certified,AvgDealSize,Opportunities,Wins,RawWinRate,TrueWinRate,ExposureMonths,OutboundMeetings,RawMeetingsPerMonth,TrueMeetingsPerMonth,MeanDiscountPct,DiscountSD,TrueMeanDiscountPct,Losses,LossCompetitor,LossNoDecision,LossBudget,LossTiming,TrueLossCompetitor,TrueLossNoDecision,TrueLossBudget,TrueLossTiming
R-1001,M-201,Enterprise,North America,62.8,No,206600,32,2,0.0625,0.0187,24.0,43,1.7917,1.7015,12.4047,11.6959,12.0337,30,10,14,1,5,0.4049,0.3859,0.0275,0.1817
R-1002,M-201,Enterprise,North America,42.8,No,206500,27,0,0.0,0.01,24.0,65,2.7083,2.7944,13.1562,8.0407,11.9021,27,7,12,1,7,0.2837,0.5424,0.049,0.125
R-1003,M-201,Enterprise,North America,37.6,Yes,170000,31,0,0.0,0.0237,24.0,60,2.5,2.6165,14.1655,9.6727,12.7251,31,18,3,5,5,0.5149,0.1578,0.1111,0.2163
R-1004,M-201,Enterprise,North America,5.6,No,138800,8,0,0.0,0.01,5.6,9,1.6071,2.5169,15.2255,11.5699,8.7273,8,4,1,3,0,0.6388,0.2237,0.0746,0.0629
R-1005,M-201,Enterprise,North America,37.1,Yes,201700,13,3,0.2308,0.1504,24.0,73,3.0417,3.7292,15.6514,11.8508,16.1609,10,6,0,2,2,0.3618,0.1135,0.1725,0.3523
R-1006,M-201,Enterprise,North America,12.6,No,191000,15,2,0.1333,0.0817,12.6,27,2.1429,2.1829,19.0939,9.8399,17.3757,13,6,2,1,4,0.3394,0.2445,0.1364,0.2797
R-1007,M-201,Enterprise,North America,33.8,No,151900,42,2,0.0476,0.0352,24.0,52,2.1667,1.8962,10.4912,8.187,7.2594,40,23,16,1,0,0.5377,0.3668,0.04,0.0556
R-1008,M-202,Mid-Market,EMEA,10.2,No,50700,28,2,0.0714,0.1554,10.2,53,5.1961,5.2034,12.4155,9.6017,13.6094,26,6,14,4,2,0.1943,0.3703,0.2482,0.1872
R-1009,M-202,Mid-Market,EMEA,10.8,No,30300,27,8,0.2963,0.2673,10.8,30,2.7778,2.9293,9.4665,7.2939,11.1953,19,7,2,4,6,0.4295,0.1196,0.154,0.2969
R-1010,M-202,Mid-Market,EMEA,45.8,Yes,42700,56,13,0.2321,0.2259,24.0,77,3.2083,3.0944,10.2482,9.6925,8.5614,43,11,20,4,8,0.295,0.3711,0.1975,0.1364
R-1011,M-202,Mid-Market,EMEA,50.7,Yes,30200,106,33,0.3113,0.2517,24.0,87,3.625,3.6405,12.4668,10.1944,11.8276,73,19,28,17,9,0.3109,0.3938,0.2041,0.0913
R-1012,M-202,Mid-Market,EMEA,28.7,No,40500,77,22,0.2857,0.2733,24.0,81,3.375,3.5723,12.7933,9.3375,10.9358,55,18,4,7,26,0.329,0.1492,0.131,0.3909
R-1013,M-202,Mid-Market,EMEA,78.8,No,38200,79,44,0.557,0.4983,24.0,157,6.5417,6.5106,9.3465,8.219,8.2974,35,9,13,7,6,0.3495,0.2122,0.2242,0.2142
R-1014,M-202,Mid-Market,EMEA,46.8,No,35800,86,13,0.1512,0.145,24.0,77,3.2083,3.5658,8.1724,8.8764,9.1569,73,4,16,36,17,0.0932,0.1971,0.4875,0.2222
R-1015,M-202,Mid-Market,EMEA,12.1,No,44600,32,8,0.25,0.2799,12.1,43,3.5537,3.4459,11.5101,10.2508,9.8424,24,13,3,8,0,0.4932,0.2088,0.2527,0.0452
R-1016,M-202,Mid-Market,EMEA,12.8,No,40800,50,22,0.44,0.2838,12.8,57,4.4531,4.2526,10.2004,9.5318,9.437,28,15,3,3,7,0.5381,0.1957,0.055,0.2111
R-1017,M-202,Mid-Market,EMEA,43.3,No,24800,66,15,0.2273,0.2421,24.0,71,2.9583,3.123,9.3899,7.5109,7.2259,51,19,10,16,6,0.3216,0.198,0.3596,0.1207
R-1018,M-203,SMB,EMEA,7.7,No,7300,82,29,0.3537,0.3318,7.7,42,5.4545,4.7441,11.5316,9.009,8.9369,53,14,10,9,20,0.3722,0.2236,0.1431,0.2612
R-1019,M-203,SMB,EMEA,31.3,Yes,11500,180,52,0.2889,0.2617,24.0,95,3.9583,4.1144,5.7176,7.7474,2.7742,128,63,37,20,8,0.4823,0.296,0.1917,0.0299
R-1020,M-203,SMB,EMEA,56.7,Yes,8400,197,63,0.3198,0.3375,24.0,159,6.625,6.3111,13.0926,9.3688,12.6907,134,32,30,40,32,0.2267,0.2734,0.2946,0.2052
R-1021,M-203,SMB,EMEA,15.0,No,7800,98,24,0.2449,0.2852,15.0,50,3.3333,2.9123,16.7837,11.0231,15.9618,74,7,26,28,13,0.1001,0.3228,0.3828,0.1943
R-1022,M-203,SMB,EMEA,24.7,No,6700,151,62,0.4106,0.3909,24.0,113,4.7083,4.3647,13.4107,9.1114,11.8019,89,10,28,32,19,0.1189,0.3181,0.3862,0.1768
R-1023,M-203,SMB,EMEA,66.3,No,9700,166,53,0.3193,0.3402,24.0,177,7.375,6.8134,13.784,10.1409,13.1024,113,11,38,8,56,0.0705,0.3815,0.0421,0.5059
R-1024,M-203,SMB,EMEA,4.9,No,11800,28,7,0.25,0.2071,4.9,28,5.7143,6.9199,10.4358,8.2417,12.2007,21,4,5,8,4,0.286,0.2982,0.3235,0.0924
R-1025,M-203,SMB,EMEA,15.4,Yes,10200,124,38,0.3065,0.313,15.4,131,8.5065,8.7519,12.0941,10.0609,12.1274,86,18,39,8,21,0.2004,0.5019,0.1071,0.1907
R-1026,M-203,SMB,EMEA,61.0,Yes,8300,206,54,0.2621,0.2869,24.0,126,5.25,5.179,14.7865,9.9006,13.2078,152,17,71,24,40,0.1629,0.4152,0.2101,0.2118
R-1027,M-203,SMB,EMEA,21.4,Yes,9900,127,35,0.2756,0.222,21.4,138,6.4486,7.0216,11.0607,9.0543,10.0046,92,28,20,36,8,0.2186,0.3267,0.3776,0.077
R-1028,M-203,SMB,EMEA,7.2,No,7200,47,5,0.1064,0.0945,7.2,58,8.0556,6.7421,14.5657,10.8305,14.5676,42,5,15,17,5,0.1097,0.4435,0.2958,0.151
R-1029,M-204,Mid-Market,EMEA,62.6,Yes,36800,81,32,0.3951,0.3552,24.0,86,3.5833,3.8818,16.5591,8.2438,17.2411,49,14,14,19,2,0.3228,0.3243,0.3197,0.0332
R-1030,M-204,Mid-Market,EMEA,40.0,Yes,36900,80,13,0.1625,0.1563,24.0,51,2.125,2.2015,10.7431,8.6442,11.0608,67,8,29,21,9,0.1697,0.4727,0.2326,0.125
R-1031,M-204,Mid-Market,EMEA,20.6,Yes,32300,80,29,0.3625,0.3794,20.6,51,2.4757,3.2659,13.1311,9.67,13.6369,51,20,21,4,6,0.4034,0.3899,0.0821,0.1246
R-1032,M-204,Mid-Market,EMEA,108.0,Yes,46700,63,20,0.3175,0.3617,24.0,72,3.0,2.9074,16.053,9.4919,15.0232,43,19,19,4,1,0.3323,0.4073,0.1879,0.0725
