"variant_id","brand","category","period","buyers_first_year","repeat_buyers_next_year","true_repeat_rate","true_niche"
"V001","Brand G","instant_coffee","2023-2024",161,61,0.3471,0
"V001","Brand G","instant_coffee","2024-2025",122,43,0.3471,0
"V002","Brand H","whole_beans","2023-2024",41,14,0.3526,0
"V002","Brand H","whole_beans","2024-2025",39,18,0.3526,0
"V003","Brand E","coffee_capsules","2023-2024",17,10,0.3824,0
"V003","Brand E","coffee_capsules","2024-2025",21,7,0.3824,0
"V004","Brand F","ground_coffee","2023-2024",184,73,0.3458,0
"V004","Brand F","ground_coffee","2024-2025",188,65,0.3458,0
"V005","Brand G","whole_beans","2023-2024",21,6,0.4095,0
"V005","Brand G","whole_beans","2024-2025",27,13,0.4095,0
"V006","Brand B","coffee_capsules","2023-2024",6,1,0.2587,0
"V006","Brand B","coffee_capsules","2024-2025",17,4,0.2587,0
"V007","Brand D","whole_beans","2023-2024",34,13,0.3791,0
"V007","Brand D","whole_beans","2024-2025",28,6,0.3791,0
"V008","Brand F","herbal_tea","2023-2024",7,3,0.198,0
"V008","Brand F","herbal_tea","2024-2025",9,3,0.198,0
"V009","Brand C","coffee_capsules","2023-2024",31,10,0.3234,0
"V009","Brand C","coffee_capsules","2024-2025",23,11,0.3234,0
"V010","Brand H","black_tea","2023-2024",106,32,0.3465,0
"V010","Brand H","black_tea","2024-2025",115,37,0.3465,0
"V011","Brand B","coffee_capsules","2023-2024",33,10,0.3059,0
"V011","Brand B","coffee_capsules","2024-2025",31,11,0.3059,0
"V012","Brand H","instant_coffee","2023-2024",297,126,0.4403,0
"V012","Brand H","instant_coffee","2024-2025",293,124,0.4403,0
"V013","Brand H","coffee_capsules","2023-2024",6,3,0.3058,0
"V013","Brand H","coffee_capsules","2024-2025",8,1,0.3058,0
"V014","Brand D","coffee_pods","2023-2024",13,4,0.3135,0
"V014","Brand D","coffee_pods","2024-2025",17,5,0.3135,0
"V015","Brand G","coffee_capsules","2023-2024",206,72,0.3299,0
"V015","Brand G","coffee_capsules","2024-2025",196,66,0.3299,0
"V016","Brand D","ground_coffee","2023-2024",3,0,0.2415,0
"V016","Brand D","ground_coffee","2024-2025",4,3,0.2415,0
"V017","Brand C","whole_beans","2023-2024",5,2,0.2456,0
"V017","Brand C","whole_beans","2024-2025",2,2,0.2456,0
"V018","Brand D","coffee_capsules","2023-2024",63,27,0.4312,0
"V018","Brand D","coffee_capsules","2024-2025",80,37,0.4312,0
"V019","Brand F","ground_coffee","2023-2024",10,1,0.305,0
"V019","Brand F","ground_coffee","2024-2025",13,4,0.305,0
"V020","Brand E","coffee_capsules","2023-2024",7,3,0.2785,0
"V020","Brand E","coffee_capsules","2024-2025",9,2,0.2785,0
"V021","Brand F","ground_coffee","2023-2024",7,2,0.3124,0
"V021","Brand F","ground_coffee","2024-2025",6,3,0.3124,0
"V022","Brand C","ground_coffee","2023-2024",79,29,0.331,0
"V022","Brand C","ground_coffee","2024-2025",95,32,0.331,0
"V023","Brand H","coffee_capsules","2023-2024",13,3,0.2912,0
"V023","Brand H","coffee_capsules","2024-2025",9,2,0.2912,0
"V024","Brand B","coffee_capsules","2023-2024",23,6,0.3517,0
"V024","Brand B","coffee_capsules","2024-2025",26,8,0.3517,0
"V025","Brand B","ground_coffee","2023-2024",7,1,0.2566,0
"V025","Brand B","ground_coffee","2024-2025",7,3,0.2566,0
"V026","Brand F","coffee_capsules","2023-2024",54,27,0.4679,0
"V026","Brand F","coffee_capsules","2024-2025",42,19,0.4679,0
